rat,security,uavs,base_stations,flow_id,flow_type,src_ip,dst_ip,src_port,dst_port,tx_packets,rx_packets,lost_packets,pdr,throughput_mbps,mean_delay_ms,mean_jitter_ms
lte,wireguard,100,4,1,control-downlink,1.0.0.2,7.0.0.2,49153,10000,58,58,0,1.000000,0.002992,36.982758,0.120690
lte,wireguard,100,4,2,control-downlink,1.0.0.2,7.0.0.3,49154,10001,58,58,0,1.000000,0.002991,44.448275,1.948276
lte,wireguard,100,4,3,control-downlink,1.0.0.2,7.0.0.4,49155,10002,58,58,0,1.000000,0.002991,44.810344,0.603448
lte,wireguard,100,4,4,control-downlink,1.0.0.2,7.0.0.5,49156,10003,58,58,0,1.000000,0.002992,33.931033,2.034483
lte,wireguard,100,4,5,control-downlink,1.0.0.2,7.0.0.6,49157,10004,58,58,0,1.000000,0.002992,34.482758,1.034483
lte,wireguard,100,4,6,control-downlink,1.0.0.2,7.0.0.7,49158,10005,58,58,0,1.000000,0.002992,36.724137,1.620690
lte,wireguard,100,4,7,control-downlink,1.0.0.2,7.0.0.8,49159,10006,58,58,0,1.000000,0.002992,36.034482,0.275862
lte,wireguard,100,4,8,control-downlink,1.0.0.2,7.0.0.9,49160,10007,58,58,0,1.000000,0.002992,37.931033,3.431034
lte,wireguard,100,4,9,control-downlink,1.0.0.2,7.0.0.10,49161,10008,58,58,0,1.000000,0.002992,37.982758,0.120690
lte,wireguard,100,4,10,control-downlink,1.0.0.2,7.0.0.11,49162,10009,58,58,0,1.000000,0.002992,34.068965,2.051724
lte,wireguard,100,4,11,control-downlink,1.0.0.2,7.0.0.12,49163,10010,58,58,0,1.000000,0.002992,34.499999,1.293103
lte,wireguard,100,4,12,control-downlink,1.0.0.2,7.0.0.13,49164,10011,58,58,0,1.000000,0.002992,35.413792,2.982759
lte,wireguard,100,4,13,control-downlink,1.0.0.2,7.0.0.14,49165,10012,58,58,0,1.000000,0.002992,35.982758,0.120690
lte,wireguard,100,4,14,control-downlink,1.0.0.2,7.0.0.15,49166,10013,58,58,0,1.000000,0.002992,35.724137,1.620690
lte,wireguard,100,4,15,control-downlink,1.0.0.2,7.0.0.16,49167,10014,58,58,0,1.000000,0.002991,43.327585,1.568966
lte,wireguard,100,4,16,control-downlink,1.0.0.2,7.0.0.17,49168,10015,58,58,0,1.000000,0.002991,38.999999,3.517241
lte,wireguard,100,4,17,control-downlink,1.0.0.2,7.0.0.18,49169,10016,58,58,0,1.000000,0.002991,42.948275,0.120690
lte,wireguard,100,4,18,control-downlink,1.0.0.2,7.0.0.19,49170,10017,58,58,0,1.000000,0.002992,38.724137,1.620690
lte,wireguard,100,4,19,control-downlink,1.0.0.2,7.0.0.20,49171,10018,58,58,0,1.000000,0.002992,38.051723,0.258621
lte,wireguard,100,4,20,control-downlink,1.0.0.2,7.0.0.21,49172,10019,58,58,0,1.000000,0.002992,36.413792,2.982759
