rat,security,uavs,base_stations,flow_id,flow_type,src_ip,dst_ip,src_port,dst_port,tx_packets,rx_packets,lost_packets,pdr,throughput_mbps,mean_delay_ms,mean_jitter_ms
lte,wireguard,20,4,1,control-downlink,1.0.0.2,7.0.0.2,49153,10000,118,118,0,1.000000,0.002968,23.999999,0.000000
lte,wireguard,20,4,2,control-downlink,1.0.0.2,7.0.0.3,49154,10001,118,118,0,1.000000,0.002968,20.999999,0.000000
lte,wireguard,20,4,3,control-downlink,1.0.0.2,7.0.0.4,49155,10002,118,118,0,1.000000,0.002968,22.415253,0.177966
lte,wireguard,20,4,4,control-downlink,1.0.0.2,7.0.0.5,49156,10003,118,118,0,1.000000,0.002968,22.999999,0.000000
lte,wireguard,20,4,5,control-downlink,1.0.0.2,7.0.0.6,49157,10004,118,118,0,1.000000,0.002968,27.372880,0.474576
lte,wireguard,20,4,6,control-downlink,1.0.0.2,7.0.0.7,49158,10005,118,118,0,1.000000,0.002968,26.008474,0.237288
lte,wireguard,20,4,7,control-downlink,1.0.0.2,7.0.0.8,49159,10006,118,118,0,1.000000,0.002968,26.245762,0.415254
lte,wireguard,20,4,8,control-downlink,1.0.0.2,7.0.0.9,49160,10007,118,118,0,1.000000,0.002968,22.957626,0.118644
lte,wireguard,20,4,9,control-downlink,1.0.0.2,7.0.0.10,49161,10008,118,118,0,1.000000,0.002968,27.627118,0.118644
lte,wireguard,20,4,10,control-downlink,1.0.0.2,7.0.0.11,49162,10009,118,118,0,1.000000,0.002968,26.974575,0.118644
lte,wireguard,20,4,11,control-downlink,1.0.0.2,7.0.0.12,49163,10010,118,118,0,1.000000,0.002968,25.389830,0.177966
lte,wireguard,20,4,12,control-downlink,1.0.0.2,7.0.0.13,49164,10011,118,118,0,1.000000,0.002968,28.974575,0.296610
lte,wireguard,20,4,13,control-downlink,1.0.0.2,7.0.0.14,49165,10012,118,118,0,1.000000,0.002968,25.152541,0.177966
lte,wireguard,20,4,14,control-downlink,1.0.0.2,7.0.0.15,49166,10013,118,118,0,1.000000,0.002968,25.855931,0.118644
lte,wireguard,20,4,15,control-downlink,1.0.0.2,7.0.0.16,49167,10014,118,118,0,1.000000,0.002968,27.974575,0.118644
lte,wireguard,20,4,16,control-downlink,1.0.0.2,7.0.0.17,49168,10015,118,118,0,1.000000,0.002968,28.169491,0.355932
lte,wireguard,20,4,17,control-downlink,1.0.0.2,7.0.0.18,49169,10016,118,118,0,1.000000,0.002968,29.415253,0.237288
lte,wireguard,20,4,18,control-downlink,1.0.0.2,7.0.0.19,49170,10017,118,118,0,1.000000,0.002968,31.059321,0.059322
lte,wireguard,20,4,19,control-downlink,1.0.0.2,7.0.0.20,49171,10018,118,118,0,1.000000,0.002967,31.127118,0.415254
lte,wireguard,20,4,20,control-downlink,1.0.0.2,7.0.0.21,49172,10019,118,118,0,1.000000,0.002968,29.398304,0.059322
lte,wireguard,20,4,21,telemetry-uplink,7.0.0.2,1.0.0.2,49153,9000,588,588,0,1.000000,0.021467,24.752411,0.005102
lte,wireguard,20,4,22,telemetry-uplink,7.0.0.3,1.0.0.2,49153,9000,588,588,0,1.000000,0.021468,23.426096,0.008513
lte,wireguard,20,4,23,telemetry-uplink,7.0.0.4,1.0.0.2,49153,9000,588,588,0,1.000000,0.021468,24.698264,0.010202
lte,wireguard,20,4,24,telemetry-uplink,7.0.0.5,1.0.0.2,49153,9000,588,588,0,1.000000,0.021467,24.508017,0.008503
lte,wireguard,20,4,25,telemetry-uplink,7.0.0.6,1.0.0.2,49153,9000,588,588,0,1.000000,0.021466,23.881663,0.270408
lte,wireguard,20,4,26,telemetry-uplink,7.0.0.7,1.0.0.2,49153,9000,588,588,0,1.000000,0.021466,28.931005,0.001725
lte,wireguard,20,4,27,telemetry-uplink,7.0.0.8,1.0.0.2,49153,9000,588,588,0,1.000000,0.021468,23.611931,0.032319
lte,wireguard,20,4,28,telemetry-uplink,7.0.0.9,1.0.0.2,49153,9000,588,588,0,1.000000,0.021468,23.797660,0.005113
lte,wireguard,20,4,29,telemetry-uplink,7.0.0.10,1.0.0.2,49153,9000,588,588,0,1.000000,0.021467,24.411057,0.008509
lte,wireguard,20,4,30,telemetry-uplink,7.0.0.11,1.0.0.2,49153,9000,588,588,0,1.000000,0.021468,23.676367,0.005114
lte,wireguard,20,4,31,telemetry-uplink,7.0.0.12,1.0.0.2,49153,9000,588,588,0,1.000000,0.021468,23.932287,0.001712
lte,wireguard,20,4,32,telemetry-uplink,7.0.0.13,1.0.0.2,49153,9000,588,588,0,1.000000,0.021468,25.247949,0.343518
lte,wireguard,20,4,33,telemetry-uplink,7.0.0.14,1.0.0.2,49153,9000,588,588,0,1.000000,0.021466,24.608326,0.129267
lte,wireguard,20,4,34,telemetry-uplink,7.0.0.15,1.0.0.2,49153,9000,588,588,0,1.000000,0.021468,24.290979,0.006807
lte,wireguard,20,4,35,telemetry-uplink,7.0.0.16,1.0.0.2,49153,9000,588,588,0,1.000000,0.021468,24.583590,0.006804
lte,wireguard,20,4,36,telemetry-uplink,7.0.0.17,1.0.0.2,49153,9000,588,588,0,1.000000,0.021468,24.250428,0.006811
lte,wireguard,20,4,37,telemetry-uplink,7.0.0.18,1.0.0.2,49153,9000,588,588,0,1.000000,0.021468,24.000236,0.120733
lte,wireguard,20,4,38,telemetry-uplink,7.0.0.19,1.0.0.2,49153,9000,588,588,0,1.000000,0.021468,23.299233,0.005124
lte,wireguard,20,4,39,telemetry-uplink,7.0.0.20,1.0.0.2,49153,9000,588,588,0,1.000000,0.021468,23.752591,0.005126
lte,wireguard,20,4,40,telemetry-uplink,7.0.0.21,1.0.0.2,49153,9000,588,588,0,1.000000,0.021468,24.276416,0.006812
